epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,6044.81,1.02317,0.438,0.72119,0.95145,0.59627,0.7667,0.50843,1.09679,0.78841,0.72403,0.0051688,0.0051688,0.0051688
124,6091.75,1.04466,0.4521,0.72319,0.95013,0.59493,0.77358,0.53147,1.053,0.73657,0.72366,0.0051292,0.0051292,0.0051292
125,6140.35,1.02411,0.42251,0.72748,0.95165,0.60002,0.78533,0.47857,1.21008,0.84105,0.72441,0.0050896,0.0050896,0.0050896
126,6186.59,1.04964,0.42994,0.7274,0.95224,0.59444,0.76439,0.48915,1.11502,0.83223,0.72428,0.00505,0.00505,0.00505
127,6235.48,1.04437,0.44669,0.73179,0.95307,0.59663,0.75928,0.50989,1.04189,0.77517,0.724,0.0050104,0.0050104,0.0050104
128,6282.75,1.01915,0.4301,0.7247,0.95288,0.59613,0.76976,0.4841,1.15029,0.84998,0.72467,0.0049708,0.0049708,0.0049708
129,6333.39,1.03733,0.437,0.72697,0.94883,0.59981,0.77332,0.48098,1.16194,0.82744,0.72463,0.0049312,0.0049312,0.0049312
130,6387,0.99943,0.41401,0.71888,0.94816,0.59693,0.77198,0.50894,1.08872,0.7895,0.72367,0.0048916,0.0048916,0.0048916
131,6436.67,0.99971,0.42027,0.72464,0.95031,0.59366,0.75924,0.47919,1.16218,0.82927,0.7237,0.004852,0.004852,0.004852
132,6486.6,1.03776,0.44733,0.73295,0.95006,0.59736,0.77601,0.48567,1.16555,0.83735,0.72387,0.0048124,0.0048124,0.0048124
133,6533.21,1.01613,0.43424,0.72036,0.94938,0.5993,0.77573,0.50359,1.08362,0.79387,0.7237,0.0047728,0.0047728,0.0047728
134,6584.28,1.01946,0.43155,0.72261,0.95242,0.60695,0.78848,0.48359,1.1899,0.83595,0.72445,0.0047332,0.0047332,0.0047332
135,6631.68,0.99671,0.42533,0.72436,0.94637,0.60359,0.77733,0.48157,1.17661,0.82667,0.72397,0.0046936,0.0046936,0.0046936
136,6686.52,1.00471,0.41387,0.72225,0.95073,0.59963,0.77693,0.50218,1.12101,0.80272,0.72337,0.004654,0.004654,0.004654
137,6738.47,1.00666,0.43277,0.73145,0.95139,0.60155,0.78088,0.49396,1.15652,0.81495,0.72379,0.0046144,0.0046144,0.0046144
138,6789.73,0.99204,0.41801,0.72,0.95388,0.59812,0.77911,0.50208,1.11936,0.79541,0.72413,0.0045748,0.0045748,0.0045748
139,6837.34,1.02011,0.43003,0.73043,0.95563,0.59493,0.77029,0.51357,1.08793,0.81442,0.7235,0.0045352,0.0045352,0.0045352
140,6885.91,0.98996,0.42709,0.7274,0.95283,0.59608,0.76522,0.50246,1.09742,0.83832,0.72372,0.0044956,0.0044956,0.0044956
141,6931.66,0.97262,0.41487,0.72655,0.95453,0.59379,0.75404,0.50913,1.06156,0.80879,0.72309,0.004456,0.004456,0.004456
